cve_periodo,cve_periodo_alta,dat_fecha_disposicion,dat_fecha_vencimiento,dat_monto_credito_dispuesto,dat_responsabilidad_total,dat_saldo_princ_inicio,dat_saldo_princ_fin,dat_monto_pago_exigible_acred,dat_monto_pagado_efec_acred,dat_monto_intereses_pagados,dat_tasa_bruta_periodo,dat_num_vencidos,cve_situacion_credito,id_disposicion,ventana
201008,200908,200908,201208,0,2092998,2083337,2000004,93168,102135,18313,10.41,0,1,304007220050CA990315TCA000_342,6
201009,200908,200908,201208,0,2009260,2000004,1916671,92199,101266,16989,10.41,0,1,304007220050CA990315TCA000_342,7
201010,200908,200908,201208,0,1924983,1916671,1833338,92329,99957,16778,10.39,0,1,304007220050CA990315TCA000_342,8
201011,200908,200908,201208,0,1841804,1833338,1750005,91397,99737,15497,10.37,0,1,304007220050CA990315TCA000_342,9
201012,200908,200908,201208,0,1757565,1750005,1666672,91500,98692,15246,10.38,0,1,304007220050CA990315TCA000_342,10
201101,200908,200908,201208,0,1674359,1666672,1583339,91089,98226,14506,10.37,0,1,304007220050CA990315TCA000_342,11
201102,200908,200908,201208,0,1590639,1583339,1500006,89372,97476,12450,10.35,0,1,304007220050CA990315TCA000_342,12
201103,200908,200908,201208,0,1505613,1500006,1416673,90251,95410,12981,10.34,0,1,304007220050CA990315TCA000_342,13
201104,200908,200908,201208,0,1423184,1416673,1333340,89457,95948,11845,10.33,0,1,304007220050CA990315TCA000_342,14
201105,200908,200908,201208,0,1339081,1333340,1250007,89443,94815,11492,10.35,0,1,304007220050CA990315TCA000_342,15
201106,200908,200908,201208,0,1255758,1250007,1166674,88701,94475,10424,10.35,0,1,304007220050CA990315TCA000_342,16
201107,200908,200908,201208,0,1171706,1166674,1083341,88623,93398,10011,10.34,0,1,304007220050CA990315TCA000_342,17
201108,200908,200908,201208,0,1088320,1083341,1000008,88201,92980,9250,10.31,0,1,304007220050CA990315TCA000_342,18
201109,200908,200908,201208,0,1004590,1000008,916675,87523,92298,8224,10.29,0,1,304007220050CA990315TCA000_342,19
201110,200908,200908,201208,0,920603,916675,833342,87382,91190,7739,10.29,0,1,304007220050CA990315TCA000_342,20
201111,200908,200908,201208,0,837153,833342,750009,86766,90717,6791,10.3,0,1,304007220050CA990315TCA000_342,21
201112,200908,200908,201208,0,753227,750009,666676,86576,89769,6271,10.3,0,1,304007220050CA990315TCA000_342,22
201201,200908,200908,201208,0,669729,666676,583343,86168,89247,5530,10.29,0,1,304007220050CA990315TCA000_342,23
201202,200908,200908,201208,0,586011,583343,500010,85476,88503,4501,10.28,0,1,304007220050CA990315TCA000_342,24
201203,200908,200908,201208,0,502010,500010,416677,85355,87476,4046,10.28,0,1,304007220050CA990315TCA000_342,25
201204,200908,200908,201208,0,418580,416677,333344,86543,87021,3210,10.26,0,1,304007220050CA990315TCA000_342,26
201205,200908,200908,201208,0,334770,333344,250011,85897,86184,2564,10.24,0,1,304007220050CA990315TCA000_342,27
201206,200908,200908,201208,0,251149,250011,166678,85113,85538,2205,10.26,0,1,304007220050CA990315TCA000_342,28
201207,200908,200908,201208,0,167391,166678,83345,84770,84758,1425,10.27,0,1,304007220050CA990315TCA000_342,29
201208,200908,200908,201208,0,83725,83345,0,737,84082,737,10.27,0,1,304007220050CA990315TCA000_342,30
200909,200908,200908,201208,2000000,2002975,2000000,1954538,49180,57362,11900,13.39,0,1,304007220050MM980729FD7000_341,-5
200910,200908,200908,201208,0,1967629,1954538,1908570,59786,67820,21818,13.4,0,1,304007220050MM980729FD7000_341,-4
200911,200908,200908,201208,0,1922089,1908570,1862090,60710,68571,22056,13.42,0,1,304007220050MM980729FD7000_341,-3
200912,200908,200908,201208,0,1874590,1862090,1815092,60192,67971,20832,13.43,0,1,304007220050MM980729FD7000_341,-2
201001,200908,200908,201208,0,1827961,1815092,1767570,61069,68520,20998,13.44,0,1,304007220050MM980729FD7000_341,-1
201002,200908,200908,201208,0,1780093,1767570,1767570,61233,11244,11244,13.4,16,1,304007220050MM980729FD7000_341,0
201003,200908,200908,201208,0,1786998,1767570,1671317,117315,125482,27108,13.43,19,1,304007220050MM980729FD7000_341,1
201004,200908,200908,201208,0,1683160,1671317,1625167,64569,65551,18364,13.42,18,1,304007220050MM980729FD7000_341,2
201005,200908,200908,201208,0,1636051,1625167,1574249,64120,69168,18411,13.44,19,1,304007220050MM980729FD7000_341,3
201006,200908,200908,201208,0,1585404,1574249,1522247,61938,70367,17276,13.45,16,1,304007220050MM980729FD7000_341,4
201007,200908,200908,201208,0,1532478,1522247,1471421,62647,67961,17252,13.43,19,1,304007220050MM980729FD7000_341,5
201008,200908,200908,201208,0,1481851,1471421,1420067,62819,68610,16639,13.41,19,1,304007220050MM980729FD7000_341,6
